Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",82,356,289,85,44,14,1,26,61,66,61,7,87,3,2,0,,5,1,0.294716,0.17212,0.244565,0.703779,0.420733,0.621782,0.437222,1.04251,0.327066,3.95481,0.331037,-0.320534,-0.23633,76.2122,35.0471,187.014,-0.556864,-1.01331,34.85371953248978,-5.250193119049072,4.30685,3.119999885559082,,,,,,,676.4,8.248780487,676.4,8.248780487,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Bobby Witt Jr.","KCR",82,356,322,95,56,20,4,15,55,49,27,3,57,4,3,0,,19,6,0.295405,0.0758539,0.160898,0.47144,0.353574,0.520268,0.373016,0.873842,0.224862,7.00449,0.317053,1.54428,0.910112,57.8343,16.7341,137.663,2.45439,1.52307,17.75746250152588,5.334179759025574,3.62825,1.6299999952316284,,,,,,,544.1,6.635365853,544.1,6.635365853,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Fernando Tatis Jr.","SDP",82,353,315,90,54,17,1,18,57,50,32,1,70,4,2,0,,14,3,0.286355,0.0901099,0.198795,0.453279,0.356314,0.523612,0.378675,0.879926,0.237257,5.71169,0.31407,1.24571,0.906338,58.9236,18.1829,147.316,2.15205,2.32987,21.65170979499817,-1.5528483390808105,3.28038,11.619999885559082,,,,,,,539.4,6.57804878,539.4,6.57804878,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Juan Soto","NYM",82,356,284,78,45,15,1,18,57,50,67,3,58,2,2,0,,4,2,0.273933,0.188415,0.16247,1.15969,0.41325,0.517033,0.402264,0.930283,0.2431,3.91264,0.285915,-1.38078,-0.483662,66.1514,25.0512,163.286,-1.86444,-1.71504,24.44659960269928,-5.733561635017395,3.14689,7.079999923706055,,,,,,,580.2,7.075609756,580.2,7.075609756,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Kyle Tucker","CHC",82,356,305,86,50,17,2,17,55,54,47,4,52,1,3,0,,13,3,0.281514,0.133226,0.145986,0.912592,0.378022,0.518114,0.384328,0.896136,0.236601,5.79175,0.28829,1.19391,0.881082,61.1474,19.9823,150.04,2.07499,-0.0107965,22.911731481552124,-4.2476791981607676,3.1437,8.710000038146973,,,,,,,557.4,6.797560975,557.4,6.797560975,,,,,,,,,,,,,,,,,,,"Kyle Tucker","18345",663656
"Shohei Ohtani","LAD",77,334,286,82,44,15,3,21,60,52,43,6,76,2,2,0,,18,4,0.28733,0.128021,0.228307,0.56074,0.381499,0.579281,0.405048,0.960781,0.291951,7.26547,0.321057,1.45733,1.17809,62.7714,24.2325,163.356,2.63542,0,27.33408284187317,-8.338425636291504,3.10133,1.5499999523162842,,,,,,,589.2,7.651948051,589.2,7.651948051,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Mookie Betts","LAD",78,337,292,82,50,17,2,14,53,47,40,1,42,3,2,0,,7,2,0.280291,0.118509,0.125794,0.942089,0.369907,0.491879,0.373758,0.861787,0.211588,5.26214,0.285533,0.123392,0.210337,55.0133,16.0601,141.954,0.333729,-1.59508,16.86497861146927,1.8888731002807617,3.08832,13.65999984741211,,,,,,,496.2,6.361538461,496.2,6.361538461,,,,,,,,,,,,,,,,,,,"Mookie Betts","13611",605141
"Gunnar Henderson","BAL",81,349,309,81,46,16,3,16,53,46,35,1,80,3,2,0,,9,2,0.262344,0.100769,0.228406,0.441185,0.340887,0.487794,0.357821,0.828681,0.22545,6.25615,0.302068,0.74828,0.372523,52.4927,12.1764,134.047,1.1208,-0.952871,14.690538048744202,2.6543821692466736,3.00766,9.329999923706055,,,,,,,484,5.975308641,484,5.975308641,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Julio Rodríguez","SEA",83,360,326,88,57,15,2,15,51,47,27,2,84,5,2,0,,15,4,0.270162,0.0761099,0.233502,0.325949,0.333881,0.462783,0.34518,0.796665,0.192621,5.95606,0.319714,1.20143,0.90574,50.5858,8.93648,128.916,2.10717,1.765,14.012895345687866,2.839995861053467,2.99638,13.710000038146973,,,,,,,476,5.734939759,476,5.734939759,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Francisco Lindor","NYM",80,345,306,80,49,15,1,14,51,45,30,1,63,6,3,0,,12,3,0.262077,0.0877706,0.181967,0.482344,0.337172,0.46083,0.34732,0.798003,0.198753,5.69955,0.284217,0.778464,0.771573,48.9805,9.13847,125.705,1.55004,1.87428,11.909781694412231,5.439098119735718,2.96833,14.149999618530273,,,,,,,445.2,5.565,445.2,5.565,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"José Ramírez","CLE",83,357,318,87,51,20,1,16,50,53,34,7,43,2,3,0,,17,4,0.274447,0.0950192,0.119447,0.795489,0.344347,0.492336,0.355133,0.836683,0.21789,5.65576,0.272569,1.68243,1.35745,52.903,11.683,130.8,3.03989,-0.00164998,15.590676069259644,1.0600783807458356,2.96254,4.900000095367432,,,,,,,512.4,6.173493975,512.4,6.173493975,,,,,,,,,,,,,,,,,,,"Jose Ramirez","13510",608070
"Ronald Acuña Jr.","ATL",78,338,291,84,53,16,1,14,58,41,40,1,62,5,2,1,,20,7,0.287381,0.118458,0.184209,0.643064,0.380471,0.49464,0.380379,0.875111,0.207259,6.40312,0.32183,2.66787,0.818561,56.9724,17.8993,143.561,3.48643,-0.731794,20.703486442565918,-4.5672876834869385,2.81982,37.599998474121094,,,,,,,516.5,6.621794871,516.5,6.621794871,,,,,,,,,,,,,,,,,,,"Ronald Acuna Jr.","18401",660670
"Corbin Carroll","ARI",82,353,308,81,47,15,5,14,59,43,35,1,71,6,2,2,,19,4,0.263364,0.0994309,0.202203,0.491738,0.347391,0.481415,0.358823,0.828806,0.218051,8.3988,0.299482,2.68354,1.78187,53.3279,12.5872,128.371,4.46542,1.32706,16.157292366027832,-2.2408411502838135,2.63795,7.889999866485596,,,,,,,497.1,6.062195121,497.1,6.062195121,,,,,,,,,,,,,,,,,,,"Corbin Carroll","25878",682998
"Jackson Merrill","SDP",77,334,309,87,54,16,2,14,43,47,20,1,55,1,3,2,,8,2,0.280232,0.0592595,0.164693,0.359817,0.323229,0.481373,0.3457,0.804603,0.201142,5.44503,0.300319,0.0658155,0.324436,47.0438,8.42508,124.762,0.390252,2.38785,10.063523024320602,3.476585626602173,2.53677,27.280000686645508,,,,,,,440.2,5.716883116,440.2,5.716883116,,,,,,,,,,,,,,,,,,,"Jackson Merrill","29490",701538
"Ketel Marte","ARI",76,327,285,79,47,16,2,15,48,47,36,2,56,3,2,0,,4,1,0.278632,0.110922,0.172819,0.641838,0.362583,0.502027,0.372318,0.864611,0.223396,4.69402,0.299424,-0.448129,-0.197257,52.9658,15.1958,137.6,-0.645387,-0.292653,13.720332086086273,-0.27953583002090454,2.50162,30.65999984741211,,,,,,,478,6.289473684,478,6.289473684,,,,,,,,,,,,,,,,,,,"Ketel Marte","13613",606466
"Elly De La Cruz","CIN",81,348,311,79,47,16,3,13,52,43,33,1,104,3,2,1,,29,7,0.254931,0.0941027,0.297534,0.316275,0.329468,0.452445,0.339223,0.781912,0.197513,8.11532,0.338689,2.2422,2.58724,47.2406,6.97927,110.073,4.82944,-0.0523322,8.931992053985596,3.681001178920269,2.48848,4.300000190734863,,,,,,,460.6,5.686419753,460.6,5.686419753,,,,,,,,,,,,,,,,,,,"Elly De La Cruz","26668",682829
"Cal Raleigh","SEA",80,321,282,64,33,12,1,18,40,48,34,2,86,2,2,0,,3,1,0.226412,0.106706,0.269408,0.396075,0.313415,0.46895,0.337331,0.782365,0.242538,3.40533,0.253815,-0.762952,-0.162849,43.0005,5.93933,123.422,-0.925801,1.73519,7.655678689479828,5.517600655555725,2.47686,85.55000305175781,,,,,,,397,4.9625,397,4.9625,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"Corey Seager","TEX",66,287,254,72,42,14,0,15,40,43,29,4,49,2,2,0,,1,0,0.283038,0.099558,0.169373,0.587803,0.35815,0.522066,0.375133,0.880217,0.239029,2.58113,0.294304,-1.0282,-0.419518,47.1069,13.9751,143.584,-1.44771,-0.0525481,12.827626943588257,0.5567110329866409,2.38131,46.439998626708984,,,,,,,425.7,6.45,425.7,6.45,,,,,,,,,,,,,,,,,,,"Corey Seager","13624",608369
"William Contreras","MIL",81,325,284,76,50,14,1,11,42,43,37,2,66,2,2,0,,4,1,0.26942,0.114584,0.202479,0.565903,0.356103,0.446094,0.350442,0.802197,0.176674,3.82992,0.311826,-0.642347,-0.122049,46.948,9.41867,123.914,-0.764396,0.333014,8.313913524150848,3.4441250264644623,2.31972,24.790000915527344,,,,,,,413.1,5.1,413.1,5.1,,,,,,,,,,,,,,,,,,,"William Contreras","20503",661388
"Austin Riley","ATL",83,360,324,87,51,17,1,18,50,52,29,1,90,5,2,0,,1,0,0.268744,0.0797593,0.248904,0.320442,0.335343,0.491465,0.356728,0.826808,0.222721,3.03947,0.317159,-0.590367,-0.46863,53.9136,12.2643,127.384,-1.059,-1.35108,10.478068947792053,-0.06373727321624756,2.30062,29.6200008392334,,,,,,,491.3,5.919277108,491.3,5.919277108,,,,,,,,,,,,,,,,,,,"Austin Riley","18360",663586
