Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",8,4,11,2.8896,17,17,0,0,,102,406,82,36,33,10,21,,4,118,10.3726,1.88392,5.50587,0.846909,0.29114,0.0528781,0.23826152458786964,0.216425,1.01307,0.28764,0.753504,,,2.72358,2.96852,2.65524,13.8100004196167,,,,,,,579.6000000000001,5.682352941176472,541,5.303921568627451,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Paul Skenes","PIT",7,4,10,2.93104,16,16,0,0,,94,378,75,33,31,8,25,,4,110,10.5483,2.39362,4.40683,0.787719,0.292401,0.0663517,0.2260490506887436,0.214586,1.06101,0.289319,0.75337,,,2.77417,2.65701,2.71781,10.890000343322754,,,,,,,535.2,5.693617021276596,499,5.308510638297872,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Zack Wheeler","PHI",7,4,10,3.2935,17,17,0,0,,106,428,88,42,39,12,27,,4,117,9.87181,2.25284,4.38193,1.01241,0.272358,0.0621548,0.21020324155688286,0.221015,1.07595,0.28229,0.738389,,,3.21428,2.54015,2.42705,21.649999618530273,,,,,,,549,5.179245283018868,515,4.8584905660377355,,,,,,,,,,,,,,,,,,,"Zack Wheeler","10310",554430
"Logan Webb","SFG",7,5,10,3.35103,17,17,0,0,,107,442,102,43,40,8,25,,3,95,7.96584,2.12274,3.75261,0.647381,0.214782,0.0572353,0.15754669532179832,0.245719,1.18384,0.301986,0.719323,,,3.02431,2.36107,2.25209,98.33999633789062,,,,,,,534.2,4.992523364485982,537,5.018691588785047,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Garrett Crochet","BOS",6,4,9,3.22364,16,16,0,0,,85,342,67,33,30,9,26,,3,107,11.3501,2.78634,4.07349,0.934478,0.311792,0.0765418,0.23525011539459229,0.213329,1.09926,0.293509,0.744243,,,2.92758,2.23699,2.10147,23.670000076293945,,,,,,,471.09999999999997,5.54235294117647,435,5.117647058823529,,,,,,,,,,,,,,,,,,,"Garrett Crochet","27463",676979
"Spencer Strider","ATL",7,4,9,3.46327,15,15,0,0,,90,364,70,37,34,10,31,,3,119,11.981,3.06709,3.90631,1.03154,0.327598,0.083864,0.24373441189527512,0.210743,1.1178,0.295557,0.730704,,,3.0279,2.23557,1.93349,101.01000213623047,,,,,,,497,5.522222222222222,456,5.066666666666666,,,,,,,,,,,,,,,,,,,"Spencer Strider","27498",675911
"Yoshinobu Yamamoto","LAD",7,4,9,3.31778,15,15,0,0,,88,358,74,35,33,8,23,,2,95,9.70497,2.37843,4.08041,0.859195,0.266717,0.0653654,0.2013520896434784,0.224149,1.10499,0.289203,0.725074,,,3.0318,2.18131,1.90285,59.349998474121094,,,,,,,475.4000000000001,5.402272727272728,451,5.125,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
"Max Fried","NYY",8,4,10,3.374,16,16,0,0,,100,411,89,41,37,9,29,,4,93,8.4,2.58566,3.24868,0.857761,0.226197,0.0696272,0.15656936168670654,0.234206,1.17727,0.286746,0.737451,,,3.42172,2.03184,1.99357,96.06999969482422,,,,,,,484.9,4.849,470,4.7,,,,,,,,,,,,,,,,,,,"Max Fried","13743",608331
"Jacob deGrom","TEX",5,3,8,3.24217,14,14,0,0,,79,313,64,31,28,10,17,,3,93,10.6474,1.98009,5.37723,1.11695,0.297976,0.0554144,0.2425617314875126,0.217629,1.02855,0.284225,0.745181,,,3.08309,1.98488,1.72875,49.810001373291016,,,,,,,421.20000000000005,5.331645569620254,391,4.949367088607595,,,,,,,,,,,,,,,,,,,"Jacob deGrom","10954",594798
"Logan Gilbert","SEA",6,4,10,3.31452,16,16,0,0,,99,394,80,40,37,12,22,,3,107,9.73501,1.95285,4.98503,1.12862,0.272549,0.0546735,0.21787527576088905,0.217471,1.02695,0.271932,0.736031,,,3.27023,1.97147,1.74261,26.360000610351562,,,,,,,516,5.212121212121212,478,4.828282828282828,,,,,,,,,,,,,,,,,,,"Logan Gilbert","22250",669302
"George Kirby","SEA",7,5,9,3.53103,16,16,0,0,,98,395,91,42,39,12,15,,3,91,8.32468,1.35711,6.13413,1.11849,0.229908,0.0374802,0.19242825359106064,0.24156,1.07761,0.2879,0.720607,,,3.39541,1.91004,1.44551,100.83999633789062,,,,,,,469,4.785714285714286,462,4.714285714285714,,,,,,,,,,,,,,,,,,,"George Kirby","25436",669923
