Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",112,483,392,116,60,19,1,36,82,89,83,9,118,4,3,0,,6,2,0.294716,0.17212,0.244565,0.703779,0.420733,0.621782,0.438349,1.04251,0.327066,3.95481,0.331037,-0.434324,-0.473389,103.621,47.8889,189.671,-0.907713,-1.26741,48.01323103904724,-7.49518609046936,5.88399,3.119999885559082,,,,,,,923.6,8.246428571,923.6,8.246428571,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Bobby Witt Jr.","KCR",109,470,425,126,75,26,5,20,73,65,36,4,76,5,4,1,,25,8,0.295405,0.0758539,0.160898,0.47144,0.353574,0.520268,0.373976,0.873842,0.224862,7.00449,0.317053,2.04065,1.08086,76.8121,22.5468,139.878,3.12151,2.01263,24.304617643356323,7.048737287521362,4.88714,1.6299999952316284,,,,,,,720.6,6.611009174,720.6,6.611009174,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Fernando Tatis Jr.","SDP",109,472,422,121,72,22,2,25,76,66,43,1,94,5,3,1,,18,4,0.286355,0.0901099,0.198795,0.453279,0.356314,0.523612,0.379648,0.879926,0.237257,5.71169,0.31407,1.66781,1.08285,79.2751,24.7753,146.785,2.75067,3.11864,28.780045986175537,-2.0812058448791504,4.40131,11.619999885559082,,,,,,,732.8,6.722935779,732.8,6.722935779,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Mookie Betts","LAD",108,465,402,113,68,23,2,19,73,65,55,1,58,4,3,0,,10,2,0.280291,0.118509,0.125794,0.942089,0.369907,0.491879,0.374681,0.861787,0.211588,5.26214,0.285533,0.170047,0.150026,76.183,22.5462,141.449,0.320073,-2.19868,23.015761137008667,2.5025525093078613,4.25283,13.65999984741211,,,,,,,677.9,6.276851851,677.9,6.276851851,,,,,,,,,,,,,,,,,,,"Mookie Betts","13611",605141
"Juan Soto","NYM",110,474,379,104,60,20,1,23,76,66,89,4,77,3,3,1,,6,2,0.273933,0.188415,0.16247,1.15969,0.41325,0.517033,0.403234,0.930283,0.2431,3.91264,0.285915,-1.84104,-0.808669,88.5482,33.794,162.549,-2.64971,-2.28672,32.31286358833313,-7.64474892616272,4.19775,7.079999923706055,,,,,,,765.1,6.955454545,765.1,6.955454545,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Shohei Ohtani","LAD",104,450,386,111,59,20,4,28,82,70,58,8,103,3,3,0,,24,6,0.28733,0.128021,0.228307,0.56074,0.381499,0.579281,0.406108,0.960781,0.291951,7.26547,0.321057,1.96652,1.46671,85.0599,33.0993,162.672,3.43323,0,36.67726445198059,-11.251852035522461,4.19318,1.5499999523162842,,,,,,,791.4,7.609615384,791.4,7.609615384,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Kyle Tucker","CHC",109,469,401,113,66,22,3,23,72,71,63,5,69,2,3,0,,17,4,0.281514,0.133226,0.145986,0.912592,0.378022,0.518114,0.385291,0.896136,0.236601,5.79175,0.28829,1.57315,1.02194,80.9408,26.7453,149.462,2.59509,-0.014226,29.960723876953125,-5.596941979601979,4.14945,8.710000038146973,,,,,,,745,6.834862385,745,6.834862385,,,,,,,,,,,,,,,,,,,"Kyle Tucker","18345",663656
"Francisco Lindor","NYM",110,474,421,110,68,21,2,20,70,62,42,1,86,8,3,1,,16,4,0.262077,0.0877706,0.181967,0.482344,0.337172,0.46083,0.34819,0.798003,0.198753,5.69955,0.284217,1.07073,0.932185,67.7705,13.0163,125.377,2.00291,2.5788,16.18783664703369,7.487442970275879,4.09453,14.149999618530273,,,,,,,624.5,5.677272727,624.5,5.677272727,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"Julio Rodríguez","SEA",111,478,432,117,75,20,2,20,68,62,36,2,112,6,2,0,,20,5,0.270162,0.0761099,0.233502,0.325949,0.333881,0.462783,0.346052,0.796665,0.192621,5.95606,0.319714,1.59259,1.07329,67.4639,12.3006,131.052,2.66588,2.33965,19.433597803115845,3.764645576477051,4.06616,13.710000038146973,,,,,,,630.6,5.681081081,630.6,5.681081081,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"José Ramírez","CLE",109,473,422,116,67,26,2,21,66,70,45,9,56,2,4,0,,22,5,0.274447,0.0950192,0.119447,0.795489,0.344347,0.492336,0.356048,0.836683,0.21789,5.65576,0.272569,2.2302,1.68334,70.5306,15.936,132.959,3.91354,-0.00216391,21.527860641479492,1.2645027390681207,4.00691,4.900000095367432,,,,,,,680.6,6.244036697,680.6,6.244036697,,,,,,,,,,,,,,,,,,,"Jose Ramirez","13510",608070
