Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Paul Skenes","PIT",12.0459,6.4607,15.1769,2.7849,29.2101,29.2101,0,0,0,173.46,692.703,133.928,58.3417,53.6744,14.3692,46.9907,1.05404,7.01507,215.934,11.2038,2.43812,4.59525,0.745547,0.311727,0.0678367,0.24389003217220306,0.209689,1.04299,0.292752,0.762286,,,2.68769,5.27273,5.50712,10.890000343322754,5.02626,-1.51431,1.64941,5.02626,1.51431,2.80079,1029.6,5.951445086705202,953,5.508670520231214,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Tarik Skubal","DET",13.8395,7.16968,15.6732,2.8839,29.3582,29.3582,0,0,0,183.2,723.947,144.899,63.8079,58.7033,17.3097,39.0017,0.762834,6.93567,213.016,10.4648,1.91602,5.46172,0.85037,0.294243,0.0538736,0.2403690256178379,0.213712,1.00383,0.284999,0.752145,,,2.82153,5.17764,5.09294,13.8100004196167,4.07244,-0.970145,1.73657,4.07244,0.970145,2.68457,1056.1000000000001,5.771038251366121,982,5.366120218579235,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Zack Wheeler","PHI",14.0896,8.04902,17.9482,3.27765,30.0711,30.0711,0,0,0,192.204,773.16,157.608,76.0843,69.9975,21.0563,48.1252,1.00979,8.11175,205.622,9.62828,2.25347,4.27264,0.985966,0.26595,0.0622449,0.20370519906282425,0.21984,1.07039,0.278538,0.735579,,,3.3288,4.56895,4.61046,21.649999618530273,1.70754,0.840632,1.30249,1.70754,-0.840632,3.26335,995.7000000000003,5.185937500000001,931,4.848958333333333,,,,,,,,,,,,,,,,,,,"Zack Wheeler","10310",554430
"Logan Webb","SFG",12.7591,9.94986,16.4629,3.41926,30.3027,30.3027,0,0,0,195.866,806.469,186.433,80.8835,74.4128,15.1156,44.1974,1.38262,5.86977,166.89,7.66856,2.03087,3.776,0.694562,0.206939,0.0548036,0.15213510021567345,0.246473,1.17749,0.298256,0.714889,,,3.23247,4.28627,4.20606,98.33999633789062,2.75096,-0.146136,0.987708,2.75096,0.146136,3.68306,966.3000000000001,4.930102040816327,969,4.9438775510204085,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Garrett Crochet","BOS",11.2269,7.04562,11.9121,3.20325,29.4189,29.4189,0,0,1.02367,152.912,615.788,120.771,59.1565,54.424,15.8419,44.3116,2.05665,5.6745,198.888,11.706,2.60806,4.48839,0.932409,0.322981,0.0719591,0.25102143734693527,0.21345,1.07959,0.29888,0.741239,,,2.89264,4.17851,4.03314,23.670000076293945,6.77032,-1.27048,1.1104,6.77032,1.27048,3.51947,868.8000000000001,5.67843137254902,805,5.261437908496732,,,,,,,,,,,,,,,,,,,"Garrett Crochet","27463",676979
"Cole Ragans","KCR",11.1921,8.63342,14.6038,3.45755,29.3659,29.3659,0,0,0,176.356,730.592,145.317,73.6427,67.7513,18.0435,64.9806,2.70081,5.85498,202.851,10.3521,3.31616,3.12172,0.920815,0.277653,0.0889423,0.18871048837900162,0.220258,1.19246,0.290008,0.738528,,,3.40106,3.6811,3.63129,45.599998474121094,2.97707,-0.641476,1.08939,2.97707,0.641476,3.54747,897,5.096590909090909,839,4.767045454545454,,,,,,,,,,,,,,,,,,,"Cole Ragans","21846",666142
"Chris Sale","ATL",11.5305,6.52556,12.5502,3.14711,25.6534,25.6534,0,0,0,153.09,619.107,125.956,58.1875,53.5325,15.5458,39.574,0.745477,8.23406,183.675,10.798,2.32651,4.6413,0.913917,0.296677,0.0639211,0.23275595903396606,0.220473,1.08126,0.29674,0.746648,,,3.02388,3.59112,3.99886,35.97999954223633,4.40766,0.16145,1.0934,4.40766,-0.16145,3.54214,831.8000000000001,5.436601307189543,781,5.104575163398692,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Framber Valdez","HOU",13.6882,8.29757,15.8547,3.32794,28.6623,28.6623,0,0,0,185.364,767.001,160.692,74.5026,68.5424,16.0677,57.7753,0.857422,8.68876,181.047,8.79035,2.80516,3.13364,0.780133,0.236045,0.0753262,0.16071871668100357,0.229385,1.17858,0.287283,0.734617,,,3.4156,3.5487,3.91118,61.900001525878906,5.02993,-0.735776,1.15524,5.02993,0.735776,3.45968,914.6,4.9437837837837835,878,4.745945945945946,,,,,,,,,,,,,,,,,,,"Framber Valdez","17295",664285
"Dylan Cease","SDP",12.2878,9.42042,14.2341,3.51348,30.7179,30.7179,0,0,0,182.392,748.98,144.234,77.3949,71.2033,20.6211,67.9291,1.46769,6.05768,214.887,10.6035,3.35192,3.1634,1.01754,0.286906,0.0906954,0.19621064513921738,0.213682,1.16323,0.281267,0.735259,,,3.49687,3.53876,3.70062,47.27000045776367,2.5468,-0.848565,1.1558,2.5468,0.848565,3.45893,922.1,5.066483516483516,845,4.642857142857143,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Logan Gilbert","SEA",11.7783,8.8891,16.1498,3.42437,30.6513,30.6513,0,0,0,193.511,771.637,160.836,80.0305,73.628,24.7049,40.2041,1.77043,5.33782,199.026,9.2565,1.86985,4.9504,1.149,0.257927,0.0521023,0.20582491904497147,0.221509,1.03891,0.270982,0.726989,,,3.47518,3.47891,3.4957,26.360000610351562,1.58656,-0.0449348,1.38866,1.58656,0.0449348,3.14846,972.5000000000001,5.012886597938145,908,4.680412371134021,,,,,,,,,,,,,,,,,,,"Logan Gilbert","22250",669302
"Pablo López","MIN",12.4059,9.41682,15.3121,3.74962,30.2644,30.2644,0,0,0,185.449,762.61,169.371,83.9809,77.2624,23.2728,45.5305,1.1836,8.05238,195.3,9.47809,2.20964,4.28943,1.12945,0.256094,0.0597035,0.19639061763882637,0.238878,1.15882,0.297884,0.718084,,,3.55848,3.42872,2.98633,73.29000091552734,2.62439,-0.423004,1.12198,2.62439,0.423004,3.50403,874.6999999999999,4.728108108108108,854,4.616216216216216,,,,,,,,,,,,,,,,,,,"Pablo Lopez","17085",641154
"Jacob deGrom","TEX",6.85846,4.15343,9.41837,3.03797,20.2929,20.2929,0,0,0,110.406,431.965,84.729,40.5085,37.2678,12.7222,22.8105,0.459916,3.99945,139.761,11.393,1.85946,6.12705,1.03708,0.323548,0.0528065,0.2707413546741009,0.209127,0.974039,0.284982,0.747043,,,2.8612,3.39813,2.80383,49.810001373291016,7.94165,-0.337983,1.37369,7.94165,0.337983,3.16841,632.1,5.746363636363637,580,5.2727272727272725,,,,,,,,,,,,,,,,,,,"Jacob deGrom","10954",594798
